epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,210.554,0.72685,0.39551,0.00414,0.83086,0.87987,0.91786,0.74053,0.67992,0.4531,0.0047,0.000990365,0.000990365,0.000990365
43,215.354,0.76155,0.40492,0.00445,0.91735,0.86941,0.93552,0.77763,0.63156,0.40794,0.00483,0.000973861,0.000973861,0.000973861
44,220.224,0.70687,0.37664,0.00393,0.88413,0.8997,0.93226,0.75384,0.69675,0.42099,0.00494,0.000957358,0.000957358,0.000957358
45,225.066,0.7056,0.40502,0.00403,0.94922,0.91419,0.95404,0.78199,0.71341,0.41098,0.00525,0.000940855,0.000940855,0.000940855
46,230.009,0.7349,0.40444,0.00399,0.95029,0.8578,0.93554,0.78613,0.61515,0.4342,0.00417,0.000924352,0.000924352,0.000924352
47,234.891,0.65863,0.39026,0.00367,0.93494,0.85147,0.93086,0.76661,0.63834,0.46806,0.00431,0.000907848,0.000907848,0.000907848
48,239.805,0.69207,0.39636,0.00382,0.917,0.91508,0.9408,0.76494,0.67234,0.3699,0.00462,0.000891345,0.000891345,0.000891345
49,244.566,0.70364,0.40495,0.00391,0.93426,0.89773,0.93889,0.76786,0.6889,0.39189,0.00486,0.000874842,0.000874842,0.000874842
50,249.417,0.66651,0.39014,0.00374,0.92012,0.88835,0.92851,0.76748,0.66177,0.41691,0.00467,0.000858338,0.000858338,0.000858338
51,254.173,0.7151,0.36688,0.00393,0.97419,0.89992,0.93085,0.73718,0.76962,0.41508,0.00522,0.000841835,0.000841835,0.000841835
52,259.009,0.66561,0.37388,0.0037,0.96587,0.9414,0.95911,0.7856,0.66513,0.32243,0.00484,0.000825332,0.000825332,0.000825332
53,263.67,0.67267,0.36323,0.00374,0.9338,0.91264,0.93939,0.77772,0.62137,0.36238,0.00423,0.000808828,0.000808828,0.000808828
54,268.353,0.68458,0.34025,0.00388,0.9488,0.93182,0.93917,0.75014,0.74786,0.40404,0.00543,0.000792325,0.000792325,0.000792325
55,273.091,0.67196,0.3567,0.00387,0.95769,0.90909,0.93286,0.76164,0.66213,0.39704,0.00451,0.000775822,0.000775822,0.000775822
56,277.869,0.65806,0.32885,0.00352,0.94469,0.89773,0.92496,0.75797,0.64269,0.39411,0.00435,0.000759318,0.000759318,0.000759318
57,282.861,0.64989,0.37775,0.00366,0.94519,0.91546,0.93322,0.76475,0.66102,0.37438,0.00471,0.000742815,0.000742815,0.000742815
