epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,487.269,0.76202,0.43024,0.00429,0.97095,0.98851,0.99356,0.82349,0.69987,0.22183,0.00591,0.000990365,0.000990365,0.000990365
43,501.198,0.74389,0.41387,0.0042,0.98655,0.97404,0.99401,0.83384,0.66443,0.21885,0.00547,0.000973861,0.000973861,0.000973861
44,513.715,0.74456,0.38151,0.00404,0.97028,0.98853,0.99329,0.8423,0.65879,0.20775,0.00548,0.000957358,0.000957358,0.000957358
45,525.238,0.72377,0.34766,0.00391,0.99305,0.97594,0.99459,0.8436,0.61258,0.19252,0.00497,0.000940855,0.000940855,0.000940855
46,537.319,0.73806,0.37692,0.00404,0.97336,0.98586,0.9939,0.83108,0.68444,0.21964,0.00561,0.000924352,0.000924352,0.000924352
47,549.64,0.75619,0.3983,0.00413,0.97654,1,0.99433,0.83791,0.65589,0.19877,0.0053,0.000907848,0.000907848,0.000907848
48,560.518,0.71726,0.33965,0.00386,0.97562,0.99425,0.99414,0.84374,0.64949,0.2039,0.00516,0.000891345,0.000891345,0.000891345
49,570.591,0.75451,0.34821,0.00412,0.98569,0.98923,0.99437,0.84427,0.6117,0.19303,0.00493,0.000874842,0.000874842,0.000874842
50,580.257,0.72117,0.33186,0.00391,0.98068,0.96609,0.99346,0.83999,0.6584,0.21655,0.00534,0.000858338,0.000858338,0.000858338
51,589.849,0.73112,0.35639,0.00391,0.99023,0.9904,0.9947,0.859,0.61075,0.19273,0.00493,0.000841835,0.000841835,0.000841835
52,601.811,0.72412,0.37811,0.00407,0.9644,0.99095,0.99134,0.84485,0.63142,0.21184,0.00518,0.000825332,0.000825332,0.000825332
53,613.627,0.70445,0.33943,0.00373,0.9974,0.97553,0.99439,0.84828,0.62718,0.21511,0.00511,0.000808828,0.000808828,0.000808828
54,624.442,0.70725,0.3385,0.00389,0.99891,0.99324,0.99468,0.84658,0.613,0.18076,0.00511,0.000792325,0.000792325,0.000792325
55,635.129,0.68329,0.36092,0.00387,0.98668,0.98438,0.99397,0.85174,0.62333,0.20507,0.00532,0.000775822,0.000775822,0.000775822
56,645.302,0.6991,0.34205,0.00382,0.99095,0.99255,0.99473,0.86308,0.59453,0.17822,0.00483,0.000759318,0.000759318,0.000759318
57,654.906,0.69709,0.34565,0.00388,0.98246,0.9933,0.99465,0.84605,0.64624,0.19643,0.0053,0.000742815,0.000742815,0.000742815
58,664.251,0.6965,0.33075,0.00383,0.98064,0.99155,0.99461,0.85,0.61681,0.18765,0.00514,0.000726312,0.000726312,0.000726312
59,674.347,0.70149,0.32161,0.00376,0.96572,0.98599,0.99374,0.85462,0.6108,0.19959,0.00491,0.000709809,0.000709809,0.000709809
60,684.071,0.70489,0.32207,0.00391,0.9763,0.98563,0.99407,0.85401,0.5998,0.18821,0.00496,0.000693305,0.000693305,0.000693305
61,693.986,0.66407,0.32203,0.00355,0.9918,0.98111,0.99465,0.85942,0.62377,0.1836,0.00509,0.000676802,0.000676802,0.000676802
62,703.428,0.68282,0.3152,0.0038,0.99128,0.9958,0.99492,0.86319,0.58579,0.17106,0.00481,0.000660299,0.000660299,0.000660299
63,713.088,0.67383,0.3158,0.0037,0.98796,0.99749,0.99485,0.85122,0.62181,0.17966,0.00506,0.000643795,0.000643795,0.000643795
64,723.021,0.68267,0.33333,0.00368,0.99004,0.98744,0.99472,0.86346,0.59198,0.17611,0.00475,0.000627292,0.000627292,0.000627292
65,732.886,0.66899,0.30929,0.00355,0.9848,0.98851,0.99457,0.84612,0.64086,0.1983,0.00516,0.000610789,0.000610789,0.000610789
66,742.701,0.68229,0.29446,0.00371,0.9782,1,0.99443,0.84858,0.63855,0.19316,0.00525,0.000594286,0.000594286,0.000594286
67,752.667,0.66816,0.296,0.00358,0.97052,0.999,0.99455,0.85162,0.58968,0.19852,0.00483,0.000577782,0.000577782,0.000577782
68,762.318,0.66654,0.30856,0.00359,0.98466,0.98282,0.99397,0.85434,0.5799,0.21197,0.00467,0.000561279,0.000561279,0.000561279
69,772.041,0.64596,0.3025,0.00359,0.99292,0.98923,0.99484,0.85912,0.59298,0.17795,0.00488,0.000544776,0.000544776,0.000544776
70,782.002,0.66857,0.2992,0.00365,0.99167,0.99415,0.99469,0.85173,0.60569,0.19659,0.00502,0.000528272,0.000528272,0.000528272
71,791.957,0.66364,0.29885,0.00352,0.99175,0.96445,0.99362,0.85384,0.59994,0.21558,0.00493,0.000511769,0.000511769,0.000511769
72,801.949,0.65272,0.30686,0.00352,0.97636,0.98395,0.99386,0.86165,0.5992,0.20802,0.00498,0.000495266,0.000495266,0.000495266
73,811.942,0.62942,0.29406,0.00343,0.98838,0.99425,0.99469,0.85487,0.62599,0.19595,0.00519,0.000478762,0.000478762,0.000478762
74,821.778,0.6464,0.30301,0.00359,0.97187,0.99425,0.99318,0.85721,0.59063,0.21731,0.00486,0.000462259,0.000462259,0.000462259
75,831.677,0.61995,0.28293,0.00337,0.98874,0.98923,0.9947,0.86867,0.59218,0.17728,0.00476,0.000445756,0.000445756,0.000445756
76,841.84,0.63949,0.28646,0.00338,0.99689,0.96848,0.99438,0.85821,0.57937,0.19111,0.00471,0.000429253,0.000429253,0.000429253
77,851.703,0.60532,0.26672,0.00338,0.98916,0.99347,0.99485,0.85645,0.60291,0.17875,0.00494,0.000412749,0.000412749,0.000412749
78,861.684,0.62992,0.29887,0.00332,0.98441,0.99626,0.99462,0.85957,0.57524,0.19054,0.00469,0.000396246,0.000396246,0.000396246
79,871.737,0.61656,0.27699,0.0033,0.99418,0.99229,0.99489,0.86107,0.56999,0.16906,0.00458,0.000379743,0.000379743,0.000379743
80,881.63,0.61282,0.27461,0.00326,0.99617,0.96503,0.99453,0.86493,0.57757,0.19537,0.00465,0.000363239,0.000363239,0.000363239
81,891.441,0.60842,0.26986,0.00322,0.97268,0.99174,0.99484,0.86213,0.58107,0.1941,0.00468,0.000346736,0.000346736,0.000346736
82,901.473,0.59053,0.27272,0.00317,0.99178,0.99464,0.99486,0.86687,0.58436,0.17488,0.00461,0.000330233,0.000330233,0.000330233
83,911.22,0.6057,0.27363,0.00324,0.98164,1,0.99492,0.87073,0.57025,0.1737,0.00458,0.000313729,0.000313729,0.000313729
84,920.829,0.60584,0.27248,0.00322,0.99395,0.99322,0.99495,0.86372,0.58281,0.19352,0.0047,0.000297226,0.000297226,0.000297226
85,930.651,0.60177,0.27682,0.00325,0.99297,0.99246,0.9948,0.86894,0.56542,0.1752,0.00456,0.000280723,0.000280723,0.000280723
